age,sex,acmr,disability_rate,acmr_apc,expenditure_rate,expenditure_rate_death,income,income_death,tax_rate,super_rate,excise_rate,gst_rate
74,male,0.022139494,0.231205117,-0.015,9000.796601,64389.22438,0,0,0.264483115,19873.54081,2831.354189,0.190917292
75,male,0.038214105,0.261764789,-0.015,10356.11068,54052.00309,0,0,0.264483115,19873.54081,2831.354189,0.190917292
76,male,0.038214105,0.261764789,-0.015,10356.11068,54052.00309,0,0,0.264483115,19873.54081,2831.354189,0.190917292
77,male,0.038214105,0.261764789,-0.015,10356.11068,54052.00309,0,0,0.264483115,19873.54081,2831.354189,0.190917292
78,male,0.038214105,0.261764789,-0.015,10356.11068,54052.00309,0,0,0.264483115,19873.54081,2831.354189,0.190917292
79,male,0.038214105,0.261764789,-0.015,10356.11068,54052.00309,0,0,0.264483115,19873.54081,2831.354189,0.190917292
80,male,0.069132349,0.299766275,-0.015,11165.99348,43691.17006,0,0,0.264483115,19873.54081,2831.354189,0.190917292
81,male,0.069132349,0.299766275,-0.015,11165.99348,43691.17006,0,0,0.264483115,19873.54081,2831.354189,0.190917292
82,male,0.069132349,0.299766275,-0.015,11165.99348,43691.17006,0,0,0.264483115,19873.54081,2831.354189,0.190917292
83,male,0.069132349,0.299766275,-0.015,11165.99348,43691.17006,0,0,0.264483115,19873.54081,2831.354189,0.190917292
84,male,0.069132349,0.299766275,-0.015,11165.99348,43691.17006,0,0,0.264483115,19873.54081,2831.354189,0.190917292
85,male,0.122716995,0.336115841,-0.015,11631.14482,35726.92899,0,0,0.264483115,19873.54081,2831.354189,0.190917292
86,male,0.122716995,0.336115841,-0.015,11631.14482,35726.92899,0,0,0.264483115,19873.54081,2831.354189,0.190917292
87,male,0.122716995,0.336115841,-0.015,11631.14482,35726.92899,0,0,0.264483115,19873.54081,2831.354189,0.190917292
88,male,0.122716995,0.336115841,-0.015,11631.14482,35726.92899,0,0,0.264483115,19873.54081,2831.354189,0.190917292
89,male,0.122716995,0.336115841,-0.015,11631.14482,35726.92899,0,0,0.264483115,19873.54081,2831.354189,0.190917292
90,male,0.192330541,0.368240449,-0.015,11562.67077,27694.21388,0,0,0.264483115,19873.54081,2831.354189,0.190917292
91,male,0.192330541,0.368240449,-0.015,11562.67077,27694.21388,0,0,0.264483115,19873.54081,2831.354189,0.190917292
92,male,0.192330541,0.368240449,-0.015,11562.67077,27694.21388,0,0,0.264483115,19873.54081,2831.354189,0.190917292
93,male,0.192330541,0.368240449,-0.015,11562.67077,27694.21388,0,0,0.264483115,19873.54081,2831.354189,0.190917292
94,male,0.192330541,0.368240449,-0.015,11562.67077,27694.21388,0,0,0.264483115,19873.54081,2831.354189,0.190917292
95,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
96,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
97,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
98,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
99,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
100,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
101,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
102,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
103,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
104,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
105,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
106,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
107,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
108,male,0.303744089,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
109,male,10000,0.407697097,-0.015,10488.33644,20757.08366,0,0,0.264483115,19873.54081,2831.354189,0.190917292
